id	item_group_id	title	description	price	sale_price	image_link	additional_image_link	link	availability	product_type	google_product_category	condition	mpn	brand	color	size	gender	age_group	custom_label_2	parent_sku	vip_price	sales_count_conversions_10_days	sales_count_10_days	half_price	aged_saleprice	release_date	inventory_count	inventory2	sales_count_conversions_1_day	imagecrawler_http	additional_image_link_2	additional_image_link_3	additional_image_link_4	low_stock	product_sku	woh	wide_width	wide_calf
HS2356699-0201-81065	16689081	"Rosamund Slouch Heeled Boot"		$54.95	$13.74	https://static3.sd-assets.com/assets/images/001/360/511/Rosamund-Slouch-Heeled-Boot-HS2356574-0201_C_Content1-original.jpg	https://static3.sd-assets.com/assets/images/001/360/511/Rosamund-Slouch-Heeled-Boot-HS2356574-0201_C_Content1-original.jpg	https://www.shoedazzle.com/products/Rosamund-Slouch-Heeled-Boot-HS2356574-0201	"out of stock"	"Fashion > Shoes > Boots & Booties > Slouch"	187	new	HS2356699-0201-81065	ShoeDazzle	Silver	6.5	female		"Rosamund Slouch Heeled Boot"	HS2356699-0201	$54.95	196	284	$27.48	$21.98	07/28/2023	871	0	22		https://static3.sd-assets.com/assets/images/001/360/521/Rosamund-Slouch-Heeled-Boot-HS2356574-0201_C_B3Q-original.jpg	https://static3.sd-assets.com/assets/images/001/360/381/Rosamund-Slouch-Heeled-Boot-HS2356574-0201_A_Front-hero-original.jpg	https://static3.sd-assets.com/assets/images/001/360/471/Rosamund-Slouch-Heeled-Boot-HS2356574-0201_C_Content2-original.jpg		HS2356699-0201	"4.1 Wide Calf Available"		"Wide Calf Available"
HS2356697-2525-84065	16547801	"Nova Stiletto Boot"		$69.95	$17.49	https://static3.sd-assets.com/assets/images/001/358/891/Nova-Stiletto-Boot-HS2356605-2525_C_Content1-original.jpg	https://static3.sd-assets.com/assets/images/001/358/891/Nova-Stiletto-Boot-HS2356605-2525_C_Content1-original.jpg	https://www.shoedazzle.com/products/Nova-Stiletto-Boot-HS2356605-2525	"out of stock"	"Fashion > Shoes > Boots & Booties > Over the Knee"	187	new	HS2356697-2525-84065	ShoeDazzle	Camo	6.5	female		"Nova Stiletto Boot"	HS2356697-2525	$69.95	219	337	$34.98	$27.98	07/28/2023	936	0	16		https://static3.sd-assets.com/assets/images/001/358/431/Nova-Stiletto-Boot-HS2356605-2525_C_Content2-original.jpg	https://static3.sd-assets.com/assets/images/001/358/751/Nova-Stiletto-Boot-HS2356605-2525_A_Front-hero-original.jpg	https://static3.sd-assets.com/assets/images/001/357/986/Nova-Stiletto-Boot-HS2356605-2525_C_B3Q-original.jpg		HS2356697-2525	"3.7 Wide Calf Available"		"Wide Calf Available"
BS2149475-7758-83120	16716576	"Tevos Combat Boot"		$39.95	$9.99	https://static3.sd-assets.com/assets/images/001/360/391/Tevos-Combat-Boot-BS2149475-7758_B_F3Q-original.jpg	https://static3.sd-assets.com/assets/images/001/360/391/Tevos-Combat-Boot-BS2149475-7758_B_F3Q-original.jpg	https://www.shoedazzle.com/products/Tevos-Combat-Boot-BS2149475-7758	"in stock"	"Fashion > Shoes > Boots & Booties > Combat"	187	new	BS2149475-7758-83120	ShoeDazzle	Fuchsia	12	female		"Tevos Combat Boot"	BS2149475-7758	$39.95	72	122	$19.98	$15.98	07/28/2023	1212	1	8		https://static3.sd-assets.com/assets/images/001/360/531/Tevos-Combat-Boot-BS2149475-7758_C_B3Q-original.jpg	https://static3.sd-assets.com/assets/images/001/360/456/Tevos-Combat-Boot-BS2149475-7758_A_Front-hero-original.jpg	https://static3.sd-assets.com/assets/images/001/365/626/Tevos-Combat-Boot-BS2149475-7758_D_FOOT-original.jpg		BS2149475-7758	13.3		
FB2045004-0001-84120	10629829	"ANNABETH QUILTED FLAT BOOT"	"An over-the-knee flat boot featuring a quilted front panel, stretchy neoprene back, buckle detail, and metal rand on the heel."	$52.95	$13.24	https://static3.sd-assets.com/assets/images/001/367/691/ANNABETH-FB1830168-0001_C_Content1-original.jpg	https://static3.sd-assets.com/assets/images/001/367/691/ANNABETH-FB1830168-0001_C_Content1-original.jpg	https://www.shoedazzle.com/products/ANNABETH-FB1830168-0001	"in stock"	"Fashion > Shoes > Boots & Booties > Moto"	187	new	FB2045004-0001-84120	ShoeDazzle	Black	12	female		"ANNABETH QUILTED FLAT BOOT"	FB2045004-0001	$52.95	40	103	$26.48	$21.18	08/30/2023	2038	31	7		https://static3.sd-assets.com/assets/images/001/367/996/ANNABETH-FB1830168-0001_C_B3Q-original.jpg	https://static3.sd-assets.com/assets/images/001/367/656/ANNABETH-FB1830168-0001_C_Content4-original.jpg	https://static3.sd-assets.com/assets/images/001/367/881/ANNABETH-FB1830168-0001_C_Content2-original.jpg		FB2045004-0001	"15.3 Wide Calf Available"		"Wide Calf Available"
FB2150177-0001-83120	16687336	"Jordane Lug Sole Over-The-Knee Boot"		$54.95	$13.74	https://static3.sd-assets.com/assets/images/001/359/811/Jordane-Lug-Sole-Over-The-Knee-Boot-FB2150152-0001_C_Content2-original.jpg	https://static3.sd-assets.com/assets/images/001/359/811/Jordane-Lug-Sole-Over-The-Knee-Boot-FB2150152-0001_C_Content2-original.jpg	https://www.shoedazzle.com/products/Jordane-Lug-Sole-Over-The-Knee-Boot-FB2150152-0001	"out of stock"	"Fashion > Shoes > Boots & Booties > Over the Knee"	187	new	FB2150177-0001-83120	ShoeDazzle	Black	12	female		"Jordane Lug Sole Over-The-Knee Boot"	FB2150177-0001	$54.95	18	52	$27.48	$21.98	07/27/2023	1351	0	7		https://static3.sd-assets.com/assets/images/001/359/906/Jordane-Lug-Sole-Over-The-Knee-Boot-FB2150152-0001_C_B3Q-original.jpg	https://static3.sd-assets.com/assets/images/001/359/851/Jordane-Lug-Sole-Over-The-Knee-Boot-FB2150152-0001_B_F3Q-original.jpg	https://static3.sd-assets.com/assets/images/001/359/996/Jordane-Lug-Sole-Over-The-Knee-Boot-FB2150152-0001_C_Content4-original.jpg		FB2150177-0001	"13.8 Wide Calf Available"		"Wide Calf Available"
HS2356663-0201-84120	15039690	"Bella Heeled Boot"		$62.95	$15.74	https://static3.sd-assets.com/assets/images/001/365/561/Bella-Heeled-Boot-HS2356663-0201_C_Content1-original.jpg	https://static3.sd-assets.com/assets/images/001/365/561/Bella-Heeled-Boot-HS2356663-0201_C_Content1-original.jpg	https://www.shoedazzle.com/products/BELLA-HEELED-BOOT-HS2356663-0201	"in stock"	"Fashion > Shoes > Boots & Booties > Cowboy & Western"	187	new	HS2356663-0201-84120	ShoeDazzle	Silver	12	female		"Bella Heeled Boot"	HS2356663-0201	$62.95	37	86	$31.48	$25.18	08/15/2023	1898	110	6		https://static3.sd-assets.com/assets/images/001/365/566/Bella-Heeled-Boot-HS2356663-0201_C_B3Q-original.jpg	https://static3.sd-assets.com/assets/images/001/365/556/Bella-Heeled-Boot-HS2356663-0201_C_Content3-original.jpg	https://static3.sd-assets.com/assets/images/001/357/871/Bella-Heeled-Boot-HS2356663-0201_C_Content2-original.jpg		HS2356663-0201	22.6		
FS2354054-2531-84110	14117452	"HAILEY PLATFORM FUZZIE"		$29.95	$7.49	https://static3.sd-assets.com/assets/images/001/367/921/HAILEY-PLATFORM-FUZZIE-FS2354054-2531_C_Content1-original.jpg	https://static3.sd-assets.com/assets/images/001/367/921/HAILEY-PLATFORM-FUZZIE-FS2354054-2531_C_Content1-original.jpg	https://www.shoedazzle.com/products/HAILEY-PLATFORM-FUZZIE-FS2354054-2531	"in stock"	"Fashion > Shoes > Boots & Booties > Fuzzies"	187	new	FS2354054-2531-84110	ShoeDazzle	"LT TAN"	11	female		"HAILEY PLATFORM FUZZIE"	FS2354054-2531	$29.95	31	137	$14.98	$11.98	08/30/2023	1910	174	5		https://static3.sd-assets.com/assets/images/001/368/076/HAILEY-PLATFORM-FUZZIE-FS2354054-2531_C_B3Q-original.jpg	https://static3.sd-assets.com/assets/images/001/367/896/HAILEY-PLATFORM-FUZZIE-FS2354054-2531_C_Content2-original.jpg	https://static3.sd-assets.com/assets/images/001/367/596/HAILEY-PLATFORM-FUZZIE-FS2354054-2531_A_Front-hero-original.jpg		FS2354054-2531	19.5		
DA1933948-2400-84120	12660004	"HANNA TRANSPARENT HEELED SANDAL"	"Showcase that pedicure in style with this sleek, must-own sandal. Hanna features a gleaming block heel and an adjustable ankle strap for all-day wearability."	$19.95	$4.99	https://static3.sd-assets.com/assets/images/001/318/380/HANNA-DA1933948-2400_A_Front-hero-original.jpg	https://static3.sd-assets.com/assets/images/001/318/380/HANNA-DA1933948-2400_A_Front-hero-original.jpg	https://www.shoedazzle.com/products/HANNA-DA1933948-2400	"in stock"	"Fashion > Shoes > Sandals > Ankle Strap"		new	DA1933948-2400-84120	ShoeDazzle	Beige	12	female		"HANNA TRANSPARENT HEELED SANDAL"	DA1933948-2400	$19.95	41	267	$9.98	$7.98	07/12/2023	12536	774	4		https://static3.sd-assets.com/assets/images/001/318/880/HANNA-DA1933948-2400_B_F3Q-original.jpg	https://static3.sd-assets.com/assets/images/001/318/360/HANNA-DA1933948-2400_C_B3Q-original.jpg	https://static3.sd-assets.com/assets/images/001/318/595/HANNA-DA1933948-2400_C_Content6-original.jpg		DA1933948-2400	"137.8 Wide Width Available"	"Wide Width Available"	
DA2146312-0001-84120	12924535	"LYVIA CLASSIC HEELED SANDAL"	"A classic two-strap sandal with a block heel and side buckle closure."	$29.95	$7.49	https://static3.sd-assets.com/assets/images/001/282/735/LYVIA-DA2040157-0001_B_F3Q-original.jpg	https://static3.sd-assets.com/assets/images/001/282/735/LYVIA-DA2040157-0001_B_F3Q-original.jpg	https://www.shoedazzle.com/products/LYVIA-DA2040157-0001	"out of stock"	"Fashion > Shoes > Sandals > Ankle Strap"		new	DA2146312-0001-84120	ShoeDazzle	Black	12	female		"LYVIA CLASSIC HEELED SANDAL"	DA2146312-0001	$29.95	14	115	$14.98	$11.98	07/12/2023	3302	0	4		https://static3.sd-assets.com/assets/images/001/282/736/LYVIA-DA2040157-0001_C_B3Q-original.jpg	https://static3.sd-assets.com/assets/images/001/282/737/LYVIA-DA2040157-0001_C_Content1-original.jpg	https://static3.sd-assets.com/assets/images/001/282/738/LYVIA-DA2040157-0001_D_FOOT-original.jpg		DA2146312-0001	"47.2 Wide Width Available"	"Wide Width Available"	
HD2354667-1533-84120	14222425	"BECKY PLATFORM HEELED SANDAL"		$49.95	$12.49	https://static3.sd-assets.com/assets/images/001/296/328/BECKY-PLATFORM-HEELED-SANDAL-HD2354667-1533_B_F3Q-original.jpg	https://static3.sd-assets.com/assets/images/001/296/328/BECKY-PLATFORM-HEELED-SANDAL-HD2354667-1533_B_F3Q-original.jpg	https://www.shoedazzle.com/products/BECKY-PLATFORM-HEELED-SANDAL-HD2354667-1533	"out of stock"	"Fashion > Shoes > Sandals > Ankle Strap"		new	HD2354667-1533-84120	ShoeDazzle	Black	12	female		"BECKY PLATFORM HEELED SANDAL"	HD2354667-1533	$49.95	24	137	$24.98	$19.98	04/28/2023	688	0	4		https://static3.sd-assets.com/assets/images/001/296/317/BECKY-PLATFORM-HEELED-SANDAL-HD2354667-1533_C_B3Q-original.jpg	https://static3.sd-assets.com/assets/images/001/296/363/BECKY-PLATFORM-HEELED-SANDAL-HD2354667-1533_D_CONTENT2-original.jpg	https://static3.sd-assets.com/assets/images/001/296/342/BECKY-PLATFORM-HEELED-SANDAL-HD2354667-1533_D_Foot-original.jpg		HD2354667-1533	14		
